ENSEMBL,Symbol,NPYWT_ZT0_dup1,NPYWT_ZT4_dup1,NPYWT_ZT8_dup1,NPYWT_ZT12_dup1,NPYWT_ZT16_dup1,NPYWT_ZT20_dup1,NPYWT_ZT0_dup2,NPYWT_ZT4_dup2,NPYWT_ZT8_dup2,NPYWT_ZT12_dup2,NPYWT_ZT16_dup2,NPYWT_ZT20_dup2,NPYKO_ZT0_dup1,NPYKO_ZT4_dup1,NPYKO_ZT8_dup1,NPYKO_ZT12_dup1,NPYKO_ZT16_dup1,NPYKO_ZT20_dup1,NPYKO_ZT0_dup2,NPYKO_ZT4_dup2,NPYKO_ZT8_dup2,NPYKO_ZT12_dup2,NPYKO_ZT16_dup2,NPYKO_ZT20_dup2
ENSMUSG00000029482,Aacs,6.820352663,5.683526453,6.318412216,5.61900399,6.897505936,5.656371957,6.228279139,6.622251088,6.354121957,4.411841216,7.11778444,6.723562284,6.411741571,6.617361269,6.317658782,7.063541835,7.060392657,6.786447459,6.263916076,6.366560141,5.57563007,4.449325047,6.834116282,6.916041931
ENSMUSG00000027761,Aadac,5.637234395,6.316904954,6.521159742,6.642248219,6.477978496,5.086256783,6.395410285,5.410690949,6.604446077,6.676736691,5.508669215,5.500726577,6.373826946,6.067281748,6.449373288,6.90905629,6.256858737,6.354856591,4.126140054,6.878217784,5.57563007,6.314641106,6.178521477,6.580149596
ENSMUSG00000057228,Aadat,10.21129651,10.34657498,10.31407934,10.40967054,10.28532161,10.16104402,10.30179751,10.22860961,10.48454293,10.6141472,9.638158824,10.21691389,10.27836846,10.42568914,10.37455621,10.22406835,10.20147696,10.41441334,10.17831869,10.32658522,10.48829317,10.39577182,10.47511388,10.54197691
ENSMUSG00000020804,Aanat,3.804522392,2.26107451,2.612117947,2.111154744,3.866164708,3.061311204,3.61597637,3.409719197,2.990498931,3.357472855,2.270194435,4.509566353,5.12266308,2.351657487,2.963399404,5.251705506,2.872673499,2.772750419,3.816635518,2.504073186,2.53238334,2.548292134,3.498676439,3.951425767
ENSMUSG00000031960,Aars,8.301688173,8.306151038,8.382994039,8.334480222,8.540213296,8.066108709,8.277451086,8.455070951,8.23197612,7.690621938,8.281986813,8.340061258,8.182779575,8.288623015,8.061172265,8.197171424,7.989924544,8.272791278,8.282750962,8.409501073,8.279292039,8.080590625,8.239834881,8.357025547
ENSMUSG00000055923,Aasdh,5.738060568,5.669507044,6.217775398,5.654472809,5.686142966,5.409229755,5.759277319,5.733751286,5.163279835,5.132923432,4.879696055,5.007561787,5.978126206,6.314074744,5.911123754,4.846450142,5.359794699,5.998401362,5.723346032,6.408938575,5.540096462,6.348346385,5.401116041,5.450906561
ENSMUSG00000018697,Aatf,9.318722234,9.231892316,9.062165741,8.937705436,9.2059419,9.478133258,9.834274473,9.128782458,9.415704399,8.788759214,8.870800366,9.597349254,9.099423548,9.080598377,9.054654914,8.787050809,9.068115652,9.66882869,9.269534955,9.047174228,9.393063998,8.804458093,8.961394138,9.505947752
ENSMUSG00000025375,Aatk,3.162276442,2.902258232,3.382885228,3.2849377,3.398873611,4.07994198,3.066089914,3.773196965,3.233059932,3.361742728,3.57771626,3.386465631,3.401030516,2.938012279,3.380612319,3.454691608,3.17896916,3.370294863,3.422839063,3.466285387,3.179988324,3.352662452,3.591602182,3.499734028
ENSMUSG00000057880,Abat,5.268184588,4.74403992,4.477329961,4.597638797,4.878042659,5.530059466,4.809080583,5.253014038,4.190232753,4.778778873,4.643360416,5.131525887,4.948199029,6.207693247,4.746238621,5.391789379,4.940161851,4.615370938,4.434506528,5.317446021,5.18710923,5.648707276,4.828974852,4.326502752
ENSMUSG00000015243,Abca1,3.949168476,4.281353499,3.458066901,4.276198054,3.912781567,3.582492612,3.348397638,3.647798076,3.781820277,3.766177517,3.515024496,3.995672238,4.38230674,4.087345396,3.344914438,4.244855313,3.751695652,3.85042915,3.632074016,3.859589235,3.804522392,4.555722087,3.82934634,3.469740957
ENSMUSG00000004668,Abca13,9.900884263,10.29741337,10.33903002,10.54694776,10.74703984,10.0325811,10.01767194,10.18833675,10.8123888,10.35527296,10.48097902,10.25100531,9.707700263,10.17735827,10.19697773,10.59443766,10.47257774,10.27099249,9.560792427,10.43437347,10.35827719,10.52256476,10.53931339,10.64179677
ENSMUSG00000035435,Abca17,6.829679493,6.645328011,7.137717157,6.563190555,6.516927143,7.198977159,6.626674217,6.923746493,7.204875897,7.122065736,7.444297362,7.037110834,6.969842533,6.050882598,7.26811279,6.949861862,6.817915009,6.6715672,6.99440509,7.160184462,6.929199216,6.179503842,7.17517731,7.066080611
ENSMUSG00000026944,Abca2,2.435445742,2.488132252,2.041069889,2.168148852,3.166296984,1.906660502,2.681213052,2.38414804,2.046891154,2.72223054,2.207135495,2.268097543,2.187234049,2.506615837,2.433026041,2.268097543,2.367252138,2.430731682,3.010847164,2.085077544,2.144358203,2.442121107,2.358095568,2.316627972
ENSMUSG00000028125,Abca4,6.55978306,6.839183286,7.480900283,6.9817226,6.882932643,6.957260015,6.513284486,6.674384464,6.885862362,7.289375923,7.314517743,7.063956341,7.676934532,7.823453901,7.034126935,7.467376815,7.325493729,7.510718744,6.886878586,6.82300973,6.729921682,6.582116033,7.100036289,6.927445415
ENSMUSG00000018800,Abca5,5.027327593,5.27625745,6.057345206,5.918772292,4.904874144,5.580081369,5.378158072,5.100650543,4.869311956,4.715998485,5.933589261,5.691002436,5.844754373,5.447692104,5.214552337,5.786464033,6.150327469,6.213787658,4.600121607,5.992115403,5.515817269,5.864442367,5.253197562,5.311457763
ENSMUSG00000044749,Abca6,3.016783492,2.897925288,2.7007329,2.814482525,3.37632141,2.928445907,3.050415398,3.026478608,2.69076031,2.690727878,2.971022955,3.039764568,2.686376795,2.386588372,2.573140935,3.164486912,2.830542963,2.902075061,2.905642909,3.082406949,3.008479586,3.228481328,2.992350928,2.68763828
ENSMUSG00000035722,Abca7,3.163484205,3.123013514,2.199755052,2.38196941,3.010847164,2.041069889,2.874979261,3.928588082,2.853427454,1.965844917,2.488132252,2.481398765,2.314054816,2.351657487,1.904623423,2.53933635,2.639266273,2.70486518,2.144358203,1.98119455,1.948043773,3.561301698,2.228123243,2.702505073
