ENSEMBL,Symbol,WT_CT8_dup1,WT_CT8_dup2,WT_CT12_dup1,WT_CT12_dup2,WT_CT16_dup1,WT_CT16_dup2,WT_CT20_dup1,WT_CT20_dup2,WT_CT24_dup1,WT_CT24_dup2,WT_CT28_dup1,WT_CT28_dup2,KO_CT8_dup1,KO_CT8_dup2,KO_CT12_dup1,KO_CT12_dup2,KO_CT16_dup1,KO_CT16_dup2,KO_CT20_dup1,KO_CT20_dup2,KO_CT24_dup1,KO_CT24_dup2,KO_CT28_dup1,KO_CT28_dup2
ENSG00000121410,A1BG,5.641033333,5.879860667,5.861533,5.593954667,6.005862333,5.879472333,5.720981333,5.874169,6.125763,5.812016333,6.202936333,5.604787667,5.902755,5.576938333,5.600111,5.663387333,5.717113333,5.576828333,5.531152333,5.590358333,5.577659,5.743528,5.650238667,5.736072
ENSG00000148584,A1CF,2.677277,3.142241,2.491307,2.625405,2.520998,2.601883,2.504294,2.939496,2.792418,3.258298,2.691735,2.708898,2.949284,2.938558,2.973602,2.462954,3.222734,2.416436,2.520347,2.726169,2.96298,2.564032,2.656182,2.658287
ENSG00000175899,A2M,4.978025,5.208213,4.996259,5.404403,5.189816,4.987905,4.817133,4.917295,5.271807,4.922788,5.173649,4.980627,5.117678,5.226334,5.02022,4.969619,5.041247,5.145818,5.157534,5.212675,5.087037,5.245461,4.851834,4.868134
ENSG00000166535,A2ML1,4.0496925,4.0860975,4.3640195,4.1323655,4.423129,4.2214855,4.4731745,4.09522,3.918867,4.2819895,4.027978,4.000917,4.3796455,3.850293,4.526746,4.194523,4.555176,4.2748465,3.9181075,4.171887,3.949266,4.2658265,3.9950285,4.198896
ENSG00000128274,A4GALT,5.723748,5.468585,5.541788,5.593727,5.730778,5.729726,5.601155,5.435729,5.742525,5.574821,5.511378,5.771149,5.351955,5.588332,5.118625,5.298938,5.434862,5.483425,5.761807,5.692813,5.80235,5.391087,5.073125,5.724209
ENSG00000118017,A4GNT,3.752731,3.616894,3.924134,3.923313,3.779732,3.962679,3.972757,4.01547,3.605634,3.698454,3.807864,4.050796,3.684487,3.78923,3.559014,3.651018,3.63248,3.968854,3.735189,4.188031,3.737173,3.666874,4.258875,3.767596
ENSG00000094914,AAAS,8.334122,8.512789,8.444051,8.315967,8.546215,8.497088,8.378755,8.487194,8.648443,8.417303,8.583806,8.422341,8.373777,8.490124,8.400136,8.558742,8.486077,8.506782,8.12297,8.325339,8.513592,8.288135,8.565572,8.380665
ENSG00000081760,AACS,8.310316,8.301134,8.169716,8.184453,8.581924,8.176676,8.617133,8.225747,8.376476,8.270466,8.433322,8.227544,8.089069,8.28457,8.071892,8.047302,8.02038,8.2149,8.087463,8.252408,8.3746,8.19829,8.130933,8.337812
ENSG00000114771,AADAC,3.1971265,3.5073865,3.345454,3.193408,3.687534,2.9746255,3.3259665,3.4460715,3.440538,3.4948535,3.407962,3.5330675,4.102902,3.7960955,3.9968265,3.497294,4.6535085,3.466951,3.020796,3.0865855,3.346304,3.823823,3.570718,3.2208625
ENSG00000197953,AADACL2,3.028965,2.834252,3.025261,2.952436,2.58033,2.744212,3.119116,2.902907,2.626768,2.999599,2.89031,3.078822,2.956452,2.808427,2.822902,2.802397,3.488299,2.847956,2.852807,3.017957,2.680035,3.116817,2.937024,2.77238
