ENSEMBL,Symbol,H_CT8,H_CT12,H_CT16,H_CT20,H_CT24,H_CT28,L_CT8,L_CT12,L_CT16,L_CT20,L_CT24,L_CT28
ENSG00000121410,A1BG,5.641033333,5.861533,6.005862333,5.720981333,6.125763,6.202936333,5.902755,5.600111,5.717113333,5.531152333,5.577659,5.650238667
ENSG00000148584,A1CF,2.677277,2.491307,2.520998,2.504294,2.792418,2.691735,2.949284,2.973602,3.222734,2.520347,2.96298,2.656182
ENSG00000175899,A2M,4.978025,4.996259,5.189816,4.817133,5.271807,5.173649,5.117678,5.02022,5.041247,5.157534,5.087037,4.851834
ENSG00000166535,A2ML1,4.0496925,4.3640195,4.423129,4.4731745,3.918867,4.027978,4.3796455,4.526746,4.555176,3.9181075,3.949266,3.9950285
ENSG00000128274,A4GALT,5.723748,5.541788,5.730778,5.601155,5.742525,5.511378,5.351955,5.118625,5.434862,5.761807,5.80235,5.073125
ENSG00000118017,A4GNT,3.752731,3.924134,3.779732,3.972757,3.605634,3.807864,3.684487,3.559014,3.63248,3.735189,3.737173,4.258875
ENSG00000094914,AAAS,8.334122,8.444051,8.546215,8.378755,8.648443,8.583806,8.373777,8.400136,8.486077,8.12297,8.513592,8.565572
ENSG00000081760,AACS,8.310316,8.169716,8.581924,8.617133,8.376476,8.433322,8.089069,8.071892,8.02038,8.087463,8.3746,8.130933
ENSG00000114771,AADAC,3.1971265,3.345454,3.687534,3.3259665,3.440538,3.407962,4.102902,3.9968265,4.6535085,3.020796,3.346304,3.570718
ENSG00000197953,AADACL2,3.028965,3.025261,2.58033,3.119116,2.626768,2.89031,2.956452,2.822902,3.488299,2.852807,2.680035,2.937024
ENSG00000188984,AADACL3,3.330326333,3.364501667,3.365690333,3.442965333,3.486703,3.482060667,3.783136,3.539208667,3.787368333,3.491569333,3.480567333,3.455842333
ENSG00000204518,AADACL4,2.972698,3.200304,3.245276,3.206402,2.916183,3.201858,3.363902,3.324342,2.890706,2.93764,2.919256,2.932438
ENSG00000109576,AADAT,2.470053,2.554983,2.266718,2.503259,2.601354,2.377802,3.035581,2.596061,2.429771,2.752544,2.557385,2.375899
ENSG00000103591,AAGAB,9.0847315,9.048915,9.246848,9.0483155,8.6126845,8.6686085,8.93957,9.0990605,9.0525935,9.164968,9.3283115,9.1816975
ENSG00000115977,AAK1,7.329299125,7.27213125,7.381412,7.432177125,7.43831525,7.117206125,7.48603575,7.163926625,7.308238125,7.850377125,7.61837075,7.438317125
